depth_cm,Year,IIIa5,IIIa6,IIIb5,IIIb6,IIIc5,IIIc6,IIa5,IIa6,IIb5,IIb6,IIc5,IIc6,Ia,Ib,Ic,MBT5Me
14.75,1800,0.244309398,0.069500855,0.003606092,0.004488339,0.000783325,0.001017623,0.253478221,0.101182006,0.0195014,0.019662842,0.003433599,0,0.24870071,0.026464702,0.003870886,0.350404907
15.25,1794,0.237140017,0.071254213,0.002945809,0.005025509,0,0,0.25804824,0.098159072,0.017627616,0.023102821,0.003631652,0,0.252144151,0.026953189,0.003967713,0.355662567
15.75,1787,0.233584848,0.075950693,0.003093443,0.004918944,0,0,0.253068072,0.098164833,0.018128162,0.020557869,0.003638624,0,0.258365617,0.02648137,0.004047524,0.36399571
16.25,1780,0.24247748,0.074290515,0.003270529,0.005035567,0.000596077,0.000385732,0.259035913,0.098811157,0.01741986,0.020739137,0.003447356,0.000204276,0.245359791,0.025243164,0.003683447,0.345788711
16.75,1776,0.237402279,0.069754944,0.003382962,0.004504222,0.000727781,0.001062427,0.247903133,0.098628404,0.016767437,0.021015224,0.003287395,0,0.266356167,0.025525988,0.003681638,0.370549418
17.25,1771,0.23093022,0.067359257,0.002823454,0.004632205,0.000655405,0.000397416,0.257569382,0.096098642,0.017194379,0.019540334,0.003465076,0.000285224,0.269729041,0.025489204,0.00383076,0.371608092
17.75,1766,0.22901741,0.066499441,0.002981023,0.003888703,0.000631843,0.000355514,0.258633706,0.09974368,0.017867353,0.016114826,0.003572857,0.000259277,0.271546266,0.025206292,0.003681809,0.372769167
18.25,1762,0.234307942,0.064306749,0.002557855,0.003545678,0.000576723,0.000323726,0.264502384,0.089818078,0.01710163,0.01591054,0.003166849,0,0.274738509,0.025392785,0.003750553,0.37068083
18.75,1756,0.215478231,0.061928402,0.003722524,0.003123828,0.000746646,0.001741489,0.257088002,0.09224245,0.017841487,0.014901701,0.003578147,0.000409911,0.29540623,0.027706757,0.004084194,0.400189848
19.25,1749,0.216425939,0.062005432,0.002679743,0.003321968,0.000553429,0.000490779,0.258853158,0.096374965,0.018382759,0.014999064,0.003781046,0.000459941,0.290182023,0.027342197,0.004147555,0.394527789
