label,No,Latitude,Longitude,MBT5Me,IR6Me,Seasonality,MAT,MAP,MAT_0,SoP,CV_rainfall,Altitude,SoilPh
IndiaG34,194,19.81579,79.3775,0.933260301,0.77,14.28956522,27.22463768,1135.442609,27.22463768,241.61,3.5,181,8.42
IndiaG37,195,19.42091,79.97408,0.915441298,0.77,13.68434783,27.70942029,1072.741739,27.70942029,214.99,3.36,124,8.16
IndiaG38,196,19.67726,79.78838,0.97,0.72,13.78695652,27.75789855,1053.733913,27.75789855,189.01,3.1,163,7.86
IndiaG40,198,20.48403,79.94427,0.94,0.77,14.78956522,27.29,1238.735652,27.29,266.02,3.51,228,8.16
IndiaG42,200,20.12908,78.99722,0.969399385,0.98,14.39130435,27.50862319,1123.38,27.50862319,238.49,3.46,195,8.18
IndiaG43,201,19.81588,78.57844,0.956785599,0.93,13.88434783,27.32789855,1086.364348,27.32789855,232.38,3.51,222,8.27
IndiaG44,202,18.86144,77.96074,0.949255478,0.81,12.27391304,27.34615942,1021.66,27.34615942,185.76,3.13,340,8.26
IndiaG46,204,19.02217,76.72588,0.947982245,0.98,11.83565217,27.30405797,888.1556522,27.30405797,137.67,2.79,383,8.34
IndiaG48,206,19.54141,76.9693,0.962227793,0.93,12.3573913,26.95289855,842.9304348,26.95289855,140.01,2.91,396,8.36
IndiaX44,208,19.01348,78.6612,0.914280809,0.84,13.36782609,27.28152174,1022.922609,27.29,205.61,3.36,237,7.88
Ireland-9,211,53.9,-7.8,0.58,0.06,10.47565217,9.100289855,1010.348696,9.100289855,22.59,0.52,50,3.8
Italy-1,212,39.67,16.15,0.69,0.5,16.31565217,15.16557971,767.9026087,15.16557971,46.37,1.53,500,6.2
Italy-11,213,41.48,13.52,0.639477124,0.31,16.56347826,15.53681159,776.9608696,15.53681159,38,1.29,315,5.4
Netherlands-B,214,50.92,4.75,0.57,0.77,15.55043478,9.956811594,795.3956522,9.956811594,11.67,0.37,100,7.7
Netherlands-T5,215,53.08,4.75,0.585928343,0.57,13.7173913,9.600942029,795.5113043,9.600942029,22.11,0.66,5,5.733333333
New Zealand ,216,-44.0889,172.153,0.35,0.58,10.19217391,11.26637681,765.2104348,11.26637681,11.56,0.36,NaN,NaN
Nigeria-15,217,5.3,6.63,0.99,NaN,2.794782609,26.66210145,2308.526087,26.66210145,171.71,1.73,2,4.4
Nigeria-19,218,6.62,3.5,0.92,0.64,3.804347826,27.14072464,1412.054783,27.14072464,157.45,2.21,35,7.3
Norway-1,219,63.82,9.68,0.45,0.7,14.71217391,5.256811594,1152.304348,7.271884058,34.69,0.75,5,7.6
Norway-3,220,63.43,10.68,0.57,NaN,17.76347826,3.668768116,938.8634783,8.125590062,23.38,0.61,30,4.3
Peru-1,221,-3.82,-73.32,0.98,NaN,1.519130435,26.40094203,2864.491304,26.40094203,57.96,0.55,150,4.5
Peru-10,222,-12.68,-69.13,0.96,0.24,3.346956522,25.29521739,2417.810435,25.29521739,155.64,1.43,260,4.4
Rarotonga,224,-21.2,-159.82,0.97,0.52,4.340869565,23.85985507,2102.877391,23.85985507,98.41,0.96,7,5.4
Russia- Samoylov Island,225,71.8594599,129.2897199,0.165415153,0.25,52.13478261,-14.75775362,198.1643478,7.335,28.55,2.46,NaN,NaN
Russia - Lena Delta,226,73.8094,141.32782,0.258421559,0.11,55.86,-17.66289855,128.1121739,8.910434783,14.15,2,29,NaN
Russia - Turan,227,51.6417,101.70731,0.416619813,0.5,36.83391304,-6.667391304,549.1295652,6.888521739,93.49,2.89,870,NaN
