label,No,Latitude,Longitude,MBT5Me,IR6Me,Seasonality,MAT,MAP,MAT_0,SoP,CV_rainfall,Altitude,SoilPh
Australia-17,1,-34.72,148.33,0.75,0.5,16.14782609,14.52536232,622.5252174,14.52536232,11.38,0.41,472,6.4
Australia-4,2,-26.72,150.36,0.65,0.51,14.70086957,19.23818841,636.9304348,19.23818841,44.59,1.26,304,6.6
Brazil-12,3,-2.6,-54.95,0.95,0.7,1.673913043,26.44101449,1935.458261,26.44101449,154.55,1.7,60,6.2
Brazil-14,5,-15.6,-47.7,0.93,0.56,3.505217391,21.9357971,1506.422609,21.9357971,143.15,2.11,1010,4
Brazil-28,6,-12,-50,0.97,0.62,2.544347826,26.78492754,1830.750435,26.78492754,164.42,2.06,200,5.9
Brazil-6,7,-22.55,-50.32,0.94,0.64,8.023478261,21.57753623,1348.894783,21.57753623,88.09,1.42,562,5.2
Cameroon-1,8,4.23,9.33,0.92,0.5,2.543478261,23.80036232,2724.311304,23.80036232,214.03,1.78,1200,6.4
Canada-14,9,45.42,-63.42,0.62,0.06,25.01565217,5.342898551,1199.544348,10.59967391,24.07,0.44,100,4
Canada-17,10,49.95,-98.18,0.45,0.68,36.73826087,2.773768116,512.5504348,12.63192547,40.28,1.48,256,7.7
Canada-24,11,49.25,-122.38,0.53,0.12,16.1626087,8.247246377,2016.446957,8.247246377,106.26,1.26,180,5
China-19,12,18.9,109.5,0.96,NaN,8.449565217,23.41246377,2055.264348,23.41246377,213.11,2.07,770,4.6
China-20,13,18.77,110.33,0.93,NaN,8.431304348,24.66855072,2065.969565,24.66855072,218.82,2.07,40,3.9
China-23,14,28.22,116.92,0.92,0.61,22.86434783,18.01818841,1744.724348,18.01818841,167.54,1.74,50,4.5
China-25,15,28.48,116.27,0.9,0.54,23.36434783,18.05942029,1681.067826,18.05942029,159.19,1.76,30,5.5
China-27,16,27.09,117.75,0.88,0.35,19.79304348,17.49724638,1759.942609,17.49724638,176.02,1.79,700,4.7
China-31,17,24.38,114.28,0.93,0.51,16.04173913,19.86623188,1788.291304,19.86623188,158.48,1.78,250,6.1
China-32,18,23.65,113.65,0.94,0.55,15.25652174,20.82630435,1836.46087,20.82630435,162.12,1.79,250,4.3
China-4,19,28.2,113.83,0.91,0.49,23.2573913,16.48297101,1464.333043,16.48297101,105.22,1.42,40,4.9
China-49,20,26.38,106.43,0.83,0.59,17.92173913,15.75644928,1160.855652,15.75644928,118.41,2.03,1290,6.5
China-6,21,24.82,110.52,0.89,0.62,18.94695652,18.82398551,1661.723478,18.82398551,155.91,1.77,150,7.1
China-MG,22,29.62,102.17,0.539444444,0.47,17.03652174,11.01130435,934.5834783,11.01130435,102.3,2.23,NaN,6.190277778
China-MG2,23,29.58,102,0.436111111,0.28,16.18086957,2.534710145,740.2373913,6.871552795,93.96,2.49,NaN,6.511111111
China-MG3049,24,29.58,101.2,0.48,0.04,16.03478261,8.272391304,797.02,9.065849802,92.64,2.35,NaN,4.5
ChinaP609,25,32.43,83.22,0.32,0.88,23.49043478,-3.792101449,455.6947826,6.185434783,56.06,2.2,4456,8.16
ChinaP622,26,31.75,86.8,0.44,0.9,21.9773913,-2.452028986,650.7443478,5.818434783,104.91,2.8,4622,8.22
ChinaP635,27,31.51,89.15,0.38,0.78,21.33043478,0.043913043,556.493913,6.835217391,122.6,3.58,4608,8.3
ChinaP642,28,31.39,90.24,0.34,0.76,20.7773913,-0.789927536,481.4130435,5.892318841,120.83,4.01,4650,8.13
ChinaP801,29,33.73,92.1,0.34,0.8,23.52608696,-4.035,244.44,4.779130435,51.54,3.53,4697,8.2
ChinaP751,30,36.32,100.89,0.62721342,0.94,24.64869565,0.594565217,295.0165217,7.150559006,36.06,2.42,3282,8.6
ChinaP782,31,36.86,101.02,0.41,0.88,24.55130435,1.782681159,289.5304348,8.302857143,39.26,2.63,3066,8.32
ChinaP784,32,37.14,99.57,0.37,0.8,25.10608696,-0.605144928,208.2756522,6.026459627,28.63,2.65,3241,8.54
ChinaP810,33,31.07,91.69,0.36,0.63,21.5573913,-0.422898551,439.3947826,6.473913043,97.56,3.64,4702,7.11
China41,34,43.71,112.92,0.862541436,0.95,40.6226087,3.11884058,178.1043478,14.01552795,36.13,3.37,1050,8.13
China50,35,45.43,119.72,0.58,0.53,38.80608696,0.980217391,369.033913,11.58534161,86.13,3.77,969,6.78
China51,36,46.38,120.48,0.51,0.33,40.55565217,-0.99826087,383.7643478,10.09093168,86.72,3.71,675,6.54
China55,37,48.49,117.16,0.69,0.69,44.11826087,0.475869565,269.7721739,12.45018634,60.45,3.55,589,7.33
China61,38,49.88,119.99,0.49,0.61,46.25391304,-2.399637681,355.1730435,10.29391304,71.88,3.35,762,6.68
China65,39,44.48,123.48,0.73,0.92,39.22086957,5.914782609,452.8191304,16.43714286,96.24,3.52,147,10.11
China AES- 1,40,47.1,119.89,0.552941176,0.28,43.01304348,-2.739637681,376.5773913,12.72330435,79.19,3.45,1240,5.69
China QML- 1,41,34.16,95.9,0.292682927,0.66,22.47217391,-5.899855072,257.6826087,3.351086957,35.47,2.61,4727,7.02
China HY-1,42,37.02,100.8,0.5,0.83,24.38086957,-1.069927536,238.8556522,6.240289855,31.08,2.5,2725,7.41
China WLHT-2,44,46.05,121.79,0.718309859,0.58,40.04956522,2.54615942,398.7234783,13.38447205,93.51,3.78,366,6.24
China ND-1,45,29.25,91.68,0.75,0.89,17.95565217,3.40173913,739.226087,8.328322981,161.4,3.62,3576,7.69
China ZD-1,46,33.77,95.66,0.34,0.73,21.94782609,-5.05557971,289.2930435,3.991521739,40.08,2.62,4360,7.3
China TR-1,47,35.55,102.03,0.5,0.89,23.35217391,3.90673913,400.766087,10.08,45.72,2.34,2467,7.67
China JB-1,48,37.74,108.91,0.684210526,0.92,30.33913043,7.52884058,374.9356522,12.3026087,55.27,2.74,1394,7.73
China ZGEQ-2,49,39.87,111.18,0.729166667,0.78,33.42173913,7.097898551,374.5713043,14.04,64.37,3,1236,7.65
China KDE-3,50,49.94,121.43,0.575757576,0.55,44.26521739,-3.21384058,414.7904348,12.78330435,80.32,3.26,829,6.13
China MH-1,51,53.29,122.15,0.397727273,0.17,47.85652174,-5.210434783,435.8069565,12.22521739,71.01,2.89,603,5.41
China NR-1,52,32.09,92.27,0.46,0.64,22.42347826,-2.882753623,338.1756522,5.473043478,71.3,3.5,4731,6.35
China FZ-2,53,40.45,113.19,0.666666667,0.89,32.81304348,6.249057971,390.4313043,15.02322981,73.2,3.21,1236,7.3
China LKZ-3,54,29.06,90.39,0.31884058,0.4,18.07391304,1.585362319,811.5330435,6.567826087,177.7,3.63,4492,6.1
China HQ-1,55,39.33,111.19,0.777777778,0.92,33.00695652,7.680217391,401.2695652,14.5698913,66.75,2.93,912,7.65
China YKS-3,56,49.33,120.97,0.490196078,0.64,44.02608696,-2.453188406,394.9226087,11.2326087,80.38,3.37,634,6.57
China RYZ-2,57,29.33,88.98,0.553191489,0.7,18.76869565,3.769927536,907.1695652,8.942484472,190.51,3.48,3865,7.56
China XJ-1,58,36.02,105.88,0.45,0.88,25.86086957,5.860652174,387.2669565,11.19054348,45.32,2.34,1982,7.62
China YZ-2,59,35.78,104.05,0.447261663,0.81,25.29391304,6.226304348,418.8991304,11.50097826,50.88,2.43,2361,7.17
China ZL-3,61,29.29,91.15,0.72,0.91,17.92347826,2.759202899,761.7878261,7.683726708,168.79,3.66,3578,7.65
China LX-1,62,43.44,120.08,0.677419355,0.88,35.91304348,6.842826087,393.8434783,16.57118012,95.64,3.88,928,7.65
China ZLT-2,63,44.61,120.97,0.829268293,0.89,37.47652174,5.718768116,358.9165217,15.87614907,88.07,3.91,332,7.52
China SHM-1,64,38.84,110.44,0.76,0.93,32.3826087,7.772246377,384.0956522,14.53771739,63.31,2.91,1131,7.37
China TD-3,65,35.27,100.64,0.470588235,0.89,23.50782609,0.181304348,355.2191304,6.480372671,41.48,2.36,3258,7.83
China HSH-3,66,38.04,109.24,0.794871795,0.89,31.82956522,8.029275362,369.6130435,13.05710145,60.54,2.9,1131,7.73
China SNJ,67,31.43333333,110.2833333,0.604318182,0.43,22.58695652,14.94782609,1055.029565,14.94782609,75.95,1.66,NaN,5.975
China SNJ1–1,68,31.53333333,109.9833333,0.69,0.27,21.89565217,11.51195652,986.9121739,11.51195652,70.22,1.7,1770,4.12
China SNJ2–1,69,31.46666667,109.9833333,0.59,0.27,21.92434783,13.95934783,1065.796522,13.95934783,73.1,1.64,1763,5.13
China SNJ2,70,31.43333333,110.55,0.808,0.57,22.97826087,14.46673913,1033.254783,14.46673913,74.57,1.66,NaN,6.89
China NY,71,33.04,112.395,0.822692308,0.67,25.04782609,14.29057971,768.4095652,14.29057971,95.4,2.33,NaN,6.906538462
China KMS,72,25.375,102.92,0.785,0.57,11.73043478,14.60347826,1030.56087,14.60347826,126.72,2.35,NaN,6.846666667
P756,73,35.35,100.93,0.387853466,0.79,23.44347826,0.265507246,355.2191304,6.480372671,41.48,2.36,NaN,7.8
P760,74,34.54,100.22,0.402623295,0.75,22.7826087,-1.517536232,361.3808696,6.584695652,40.32,2.3,NaN,7.5
P765,75,33.03,96.92,0.534250549,0.75,20.88869565,-1.74826087,356.8443478,5.880521739,46.87,2.54,NaN,7.6
P775,77,34.1,96.2,0.439074905,0.73,21.85043478,-8.261594203,249.4921739,2.276956522,39.21,2.84,NaN,7.2
P782,78,36.86,101.02,0.224978857,0.67,24.46086957,1.90442029,289.5304348,8.302857143,39.26,2.63,NaN,7.8
P787,79,37.28,98.39,0.468172613,0.83,25.64695652,-3.296884058,169.7286957,5.993043478,26.41,2.8,NaN,8
P796,80,35.13,93.04,0.285232659,0.72,22.63130435,-5.354202899,156.1443478,4.009782609,30.8,3.37,NaN,8
P801,81,33.73,92.1,0.275448089,0.78,23.52608696,-4.034927536,244.44,4.779130435,51.54,3.53,NaN,7.7
P802,82,33.32,91.88,0.205986482,0.63,22.76347826,-6.289927536,258.2191304,3.358478261,56.92,3.65,NaN,7.7
P804,83,32.19,91.68,0.299134338,0.69,22.40347826,-3.707028986,337.9321739,4.680521739,73.94,3.59,NaN,7.7
P816,84,29.28,90.64,0.47,0.53,17.70173913,3.845652174,812.08,8.719875776,179,3.65,NaN,7.8
P831,85,28.24,88.77,0.327164195,0.8,17.83652174,-2.388768116,1064.928696,4.463304348,187.71,3.05,NaN,7.9
P833,86,28.26,87.79,0.486482118,0.68,18.47391304,-2.885434783,1027.99913,4.193913043,169.99,2.88,NaN,8.4
P848,87,29.55,84.64,0.403718607,0.74,19.59391304,-3.552971014,776.6113043,4.849130435,115.31,2.6,NaN,8.1
P851,88,29.44,85.67,0.321126841,0.73,19.6026087,-1.366086957,908.9556522,6.047652174,148.47,2.83,NaN,7.2
P858,89,29.9,90.13,0.36,0.43,18.65913043,1.477826087,694.6234783,6.634534161,161.17,3.78,NaN,6.8
P863,90,29.71,89.96,0.438534555,0.55,18.82782609,-0.850362319,708.4391304,6.383652174,156.92,3.64,NaN,6.8
NES-1,91,35.90583333,111.4527778,0.763823807,0.88,28.56,12.56557971,524.0530435,15.44173913,79.82,2.76,NaN,7.9
NES-4,92,38.56055556,112.7113889,0.681558243,0.87,31.01565217,7.972971014,462.8973913,12.90434783,82.68,3.09,NaN,7.7
NES-7,93,39.4475,112.8883333,0.807795533,0.98,31.4973913,6.313985507,450.64,12.89641304,77.67,2.96,NaN,7.7
NES-10,94,40.25916667,113.7386111,0.755823336,0.9,32.67391304,5.160289855,406.4782609,13.93130435,76.58,3.22,NaN,7.9
NES-13,95,40.89472222,114.7552778,0.501996017,0.83,32.69913043,5.752101449,401.9521739,14.61267081,81.53,3.39,NaN,7.8
NES-16,96,41.26555556,114.8761111,0.497867969,0.81,33.32521739,3.366811594,383.0486957,12.40484472,76.14,3.34,NaN,7.4
NES-19,97,41.76666667,115.1833333,0.440055355,0.73,34.89826087,3.900144928,363.6626087,13.32981366,75.84,3.46,NaN,6.9
NES-22,98,42.11027778,115.4483333,0.487497701,0.85,36.34347826,3.278478261,334.8304348,13.09614907,71.85,3.53,NaN,7.6
NES-25,99,42.47888889,115.8216667,0.462472321,0.78,36.46956522,2.684347826,356.2478261,12.49590062,73.22,3.42,NaN,7.4
NES-28,100,43.11305556,117.2088889,0.475464151,0.61,36.68521739,1.294710145,361.1043478,11.21776398,76.68,3.52,NaN,6.6
NES-31,101,43.29638889,118.4030556,0.680217238,0.91,35.12521739,3.846304348,374.8913043,13.37565217,85.42,3.7,NaN,7.8
NES-34,102,43.85222222,119.5605556,0.681244934,0.87,36.23304348,5.661449275,370.6765217,15.50745342,92.11,3.95,NaN,7.8
NES-37,103,44.36416667,120.5216667,0.644730477,0.81,36.84869565,6.24057971,369.7365217,16.21962733,89.82,3.88,NaN,7.7
NES-40,104,44.67888889,121.0561111,0.566619471,0.65,37.67130435,5.478913043,372.0956522,15.67751553,91.38,3.92,NaN,7.1
NES-43,105,45.15777778,121.5680556,0.611578326,0.62,38.88434783,4.800144928,383.4434783,15.31018634,91.32,3.83,NaN,6.6
NES-46,106,45.78,121.5952778,0.607062689,0.51,39.51043478,3.763623188,389.7495652,14.44559006,92.85,3.83,NaN,5.9
NES-49,107,46.37805556,122.4355556,0.63226237,0.63,40.15304348,3.429927536,402.3165217,14.2552795,95.85,3.82,NaN,6.4
NES-58,109,50.18,120.1505556,0.53156369,0.55,46.08782609,-3.396086957,386.5930435,10.29391304,73.51,3.22,NaN,6.4
NES-61,110,51.80888889,121.8611111,0.533412896,0.06,46.71652174,-5.658768116,442.6704348,11.29426087,79.33,3.09,NaN,5.3
NES-67,111,51.14833333,121.2888889,0.471256807,0.02,46.58521739,-5.442246377,429.1947826,11.41565217,80.14,3.18,NaN,4
NES-70,112,50.90888889,121.3938889,0.448483477,0.25,46.18869565,-5.110362319,424.2843478,11.5746087,80.41,3.21,NaN,4.4
NES-76,113,50.49083333,120.925,0.400570469,0.25,45.70173913,-4.2,404.473913,12.30782609,77.92,3.24,NaN,5.9
NES-79,114,48.88333333,119.7994444,0.531647708,0.45,45.29826087,-1.124347826,340.293913,11.27142857,72.32,3.47,NaN,5.9
NES-82,115,48.31694444,119.775,0.554983218,0.48,44.46956522,-1.039565217,343.7113043,11.13950311,73.11,3.47,NaN,6.4
NES-85,116,47.92666667,119.5211111,0.533733649,0.49,43.6426087,-2.775869565,367.88,12.92330435,77.86,3.47,NaN,6.3
NES-88,117,47.52527778,119.4233333,0.519520525,0.52,44.24782609,-2.000652174,337.5234783,10.11515528,74.44,3.56,NaN,6.6
NES-91,118,47.31666667,119.7605556,0.456407429,0.54,43.01304348,-2.739347826,376.5773913,9.059254658,79.19,3.45,NaN,6.6
NES-94,119,46.89444444,119.9627778,0.46353046,0.49,42.08173913,-2.22942029,372.48,9.285590062,80.86,3.54,NaN,6.7
WLPS-1,120,35.35611111,107.685,0.645434926,0.77,26.04,10.30152174,554.8704348,14.3247343,63.17,2.3,NaN,7.8
WLPS-5,121,35.59944444,106.0166667,0.40140167,0.8,24.96,6.177681159,448.2113043,11.24673913,48.96,2.26,NaN,7.9
WLPS-7,122,35.78583333,104.3036111,0.577814621,0.89,25.27826087,6.248623188,418.8991304,11.50097826,50.88,2.43,NaN,8
WLPS-13,123,37.50027778,102.8763889,0.544914076,0.93,27.63913043,5.714927536,233.0173913,11.41152174,34.89,2.8,NaN,8.3
WLPS-41,124,40.62305556,107.0408333,0.744368696,0.95,34.35130435,7.252608696,168.16,14.36804348,34.59,3.47,NaN,8.6
WLPS-46,125,41.40972222,109.9630556,0.545,0.86,35.21043478,4.973405797,245.133913,14.34298137,45.66,3.24,NaN,8.1
WLPS-49,127,41.08722222,110.0466667,0.656925625,0.92,34.94521739,4.064927536,264.2921739,13.36670807,47.74,3.12,NaN,8.1
WLPS-52,128,40.32833333,110.0683333,0.488292988,0.83,33.44173913,7.085434783,313.0521739,14.04521739,53.79,3.02,NaN,7.8
WLPS-56,129,39.92777778,109.9816667,0.655,0.87,32.48347826,7.432608696,310.8582609,14.19956522,52.06,2.96,NaN,8.2
WLPS-58,131,40.24194444,109.9877778,0.570556498,0.87,33.40782609,7.243695652,290.2921739,14.2148913,50.44,3.03,NaN,8.3
WLPS-62,132,39.46444444,109.8177778,0.72,0.93,32.4626087,7.900797101,337.1104348,13.04599034,55.82,2.95,NaN,8.2
WLPS-64,134,38.93555556,109.7430556,0.565616839,0.83,32.13478261,7.308405797,365.5373913,14.00076087,59.83,2.93,NaN,7.5
WLPS-70,135,38.1825,109.435,0.635428213,0.92,31.82956522,8.029347826,369.6130435,13.05710145,60.54,2.9,NaN,8.3
WLPS-73,137,37.72305556,109.1477778,0.644651805,0.88,30.94608696,8.575,395.8617391,13.46251208,59.55,2.77,NaN,8.4
WLPS-76,138,37.50027778,108.865,0.679154965,0.92,30.3373913,7.529057971,374.9356522,12.3026087,55.27,2.74,NaN,8.3
WLPS-79,140,37.07722222,108.8655556,0.703036213,0.89,29.26521739,7.611231884,407.753913,12.20347826,57.39,2.63,NaN,8.3
WLPS-80,141,37.0775,109.0819444,0.574706446,0.84,29.2826087,7.192318841,425.4278261,11.79091787,57.67,2.57,NaN,8.1
