ID,Lake,Latitude,Longitude,Core.Depth,Area,Max.depth,pH,Conductivity,Mixing,Nutrients,ReportedMAAT,MAT,MAT_0,MAP,Outliers,IIIa5,IIIa6,IIIb5,IIIb6,IIIc5,IIIc6,IIa5,IIa6,IIb5,IIb6,IIc5,IIc6,Ia,Ib,Ic,MBT5Me,MBT6Me,CBT,IR,fC,Source
LS69,Rainbow Lake_11m,44.936179,-109.501041,1.633333333,NA,NA,NA,NA,NA,NA,NA,-0.895833333,6.902,966.5,0,0.268760595,0.081883804,0.003595096,0.003670321,0,0,0.243125353,0.154119794,0.018652031,0.009707014,0.00247753,0,0.195463973,0.016016716,0.002527773,0.287434672,0.465520084,-0.454765372,0.316535985,0.024958826,UW
LS72,Lake Eileen,40.902,-106.673,5.73,NA,NA,NA,NA,NA,NA,NA,0.0925,6.921666667,1480.74,0,0.314120358,0.099261641,0.002649838,0.003202495,0,0,0.256214728,0.115502131,0.01264607,0.013151255,0.002763659,0,0.168080798,0.010077159,0.002329869,0.236404923,0.441935762,-0.506111019,0.281065606,0.02044325,UW
LS73,Gem Lake,40.881,-106.734,6.5,NA,NA,NA,NA,NA,NA,NA,0.155833333,6.988333333,1582.24,0,0.320915718,0.090979752,0.002995142,0.004288959,0,0,0.230054777,0.122079975,0.038745864,0.014597738,0.005801076,0.000377085,0.142152114,0.021320208,0.005691592,0.22291252,0.42629738,-0.472804015,0.278523068,0.043610594,UW
LS74,Unnamed,40.506,-106.617,6.03,NA,NA,NA,NA,NA,NA,NA,2.290833333,8.124285714,891.04,0,0.208589565,0.118271642,0.003671885,0.003033922,0,0,0.265445777,0.140326813,0.029961082,0.019067658,0.003789869,0.000140535,0.184284527,0.020881213,0.002535513,0.291839161,0.427925871,-0.370966312,0.355225049,0.037893533,UW
LS75,Middle Rainbow Lake,40.648,-106.624,5.8,NA,NA,NA,NA,NA,NA,NA,1.771666667,7.514285714,1205.18,0,0.316377502,0.065213127,0.004491179,0.001577175,0,0,0.269328264,0.114191618,0.029297572,0.010777905,0.005702861,0,0.162832605,0.016355388,0.003854804,0.229363678,0.490434933,-0.5863285,0.236197168,0.032452239,UW
LS76,Round Mountain Lake,40.585058,-106.678341,3.5,NA,NA,NA,NA,NA,NA,NA,1.269166667,8.25,1347.93,0,0.277777599,0.081303407,0.00276842,0.001770451,0,0,0.296105573,0.132393385,0.014066278,0.005285559,0.001224867,0.000148411,0.179208367,0.007028706,0.000918978,0.241458809,0.460818406,-0.534619914,0.271376529,0.014193162,UW
LS77,Seven Lakes,40.896,-106.681,5.75,NA,NA,NA,NA,NA,NA,NA,-0.030833333,6.868333333,1555.03,0,0.343510647,0.066642975,0.003890797,0.002613535,0,0,0.246008087,0.12605043,0.015703881,0.007804594,0.001737384,0.000137077,0.174953079,0.009382559,0.001564954,0.234983111,0.481110947,-0.577874782,0.24884308,0.018162652,UW
LS78,Teal Lake,40.583,-106.608,13.09,NA,NA,NA,NA,NA,NA,NA,2.665833333,8.545714286,762.21,0,0.214084197,0.059183686,0.002522767,0.002130864,0,0,0.301909448,0.124257703,0.026721978,0.014825734,0.004179447,0.000278193,0.221586441,0.024142589,0.004176952,0.315290399,0.557610395,-0.561504112,0.267573198,0.037362523,UW
LS79,Whale Lake,40.556,-106.675,11.48,NA,NA,NA,NA,NA,NA,NA,1.355833333,8.35,1331.75,0,0.320876967,0.090452274,0.004373198,0.003155692,0,0,0.267695644,0.116708059,0.012996182,0.014729087,0.002742107,0.000430265,0.154338122,0.009701124,0.001801278,0.216104392,0.427721734,-0.521288708,0.269460449,0.02073638,UW
LS80,Queen Sewell Pond,41.7562,-70.60355,7.78,NA,NA,NA,NA,NA,NA,NA,10.24,12.472,1250.98,0,0.068871469,0.017310631,0.000926647,0.001044044,0,0,0.283447595,0.093740579,0.013104967,0.005968117,0,0,0.47120326,0.037429345,0.006953344,0.585221463,0.815019995,-0.822349418,0.242555577,0.035274073,UA
LS81,Rocky Pond,41.8862,-70.69475,5.7,NA,NA,4.9,NA,NA,NA,NA,9.799166667,12.071,1281.09,0,0.065749333,0.029401815,0.003832463,0.002278254,0,0,0.228200113,0.1258922,0.064726231,0.025878968,0,0,0.328805461,0.107443632,0.01779153,0.558670502,0.714784159,-0.495541535,0.335599579,0.117534164,UA
LS82,Sunfish Pond,41.64488,-76.69784,3,NA,NA,NA,NA,NA,NA,NA,7.239166667,12.64375,1052.63,0,0.064279884,0.014035941,0.000511055,0.000828651,0,0,0.295785164,0,0.014111022,0.003279137,0,0,0.556030452,0.04330612,0.007832573,0.618711067,0.972272994,-1.561443325,0.04422853,0.038231932,UA
LS83,Stealing Lake,30.4628,-85.89494,2.2,NA,NA,NA,NA,NA,NA,NA,19.28916667,19.28916667,1571.63,0,0.051124092,0.027177158,0.003012127,0.002514483,0,0,0.191641912,0.098870636,0.06095933,0.027929008,0.007380105,0.001541778,0.391641492,0.11421003,0.021997849,0.634758811,0.774170004,-0.556918193,0.33641268,0.125358271,UA
LS84,Lake Jackson,31.00011667,-86.32276667,7.8,NA,NA,NA,NA,NA,NA,NA,18.95,18.95,1568.5,0,0.018657337,0.008588558,0.000467353,0.000536113,0,0,0.155949368,0.060470152,0.009993573,0.005365431,0,0,0.640080438,0.080399281,0.019492395,0.800339833,0.908614338,-0.938248797,0.287324806,0.067439211,UA
LS85,Griffin Mill Pond,30.568883,-85.54958333,11.2,NA,NA,NA,NA,NA,NA,NA,19.16833333,19.16833333,1530.7,0,0.02368719,0.011283031,0.001171212,0.001432231,0,0,0.148481493,0.058341974,0.009698138,0.004052529,0,0,0.663458515,0.064585229,0.013808458,0.803114566,0.909656839,-0.980074046,0.28831603,0.053114687,UA
