Depth	Ia	 Ib	Ic	IIa5	IIa6	IIb5	IIb6	IIc5	IIc6	IIIa5	IIIa6	IIIb5	IIIb6	IIIc5	IIIc6	percentTerrestrial
308	25.2	10.3	4.1	17.9	6.8	7.2	7	0.9	1.9	10	8.9	0	0	0	0	72.1
307	23	11.8	3.9	16.3	7.8	8.4	6.7	1	1.6	10.2	7.7	0.6	1.1	0	0	66.3
305	25	12.3	4	24.2	7.1	6.6	3.5	1.3	0.6	10	4.6	0.5	0.5	0	0	68.6
303	27	10.1	3.7	18.2	7.3	7.5	6.5	0.9	1.4	9.6	6.7	0.5	0.8	0	0	78.3
300	28.4	9.8	4.4	13.1	6.5	6.6	7.1	0.7	1.5	9.8	10.3	0.6	1.1	0	0	77.3
298	25.4	11.8	3.2	21.4	8.7	7.3	3.7	1.2	0.6	10.8	5.8	0	0	0	0	75.1
296	25.6	10.3	4.2	14.5	7.3	7.8	8.4	0.7	2.1	8.8	8.3	0.7	1.2	0	0	72.5
295	31.6	10.2	4.3	14.8	6.6	6.2	8.2	0.7	1.9	7.3	7	0.6	0.7	0	0	81.5
294	30.9	10.1	4	14.5	6.8	7	7.1	0.8	1.8	7.9	7.6	0.7	1	0	0	82.7
293	32.1	9.5	4	15.8	5.9	6.5	7.2	0.7	1.8	8	7	0.7	1	0	0	85.4
292	34	9.1	4.5	15.9	6.3	6.2	6.7	0.8	1.6	7.2	6.5	0.5	0.8	0	0	85.6
291	32.9	9.2	4.5	15.2	6.3	6.2	7.4	0.7	1.6	7.6	7	0.5	0.8	0	0	84.5
288	34.8	9.9	4.9	15	5.1	6.1	5.9	0.7	1.4	7.6	7.2	0.6	0.9	0	0	83
287	32.3	11.7	5.4	14.8	5.8	6.8	5.6	0.8	1.3	6.7	7.1	0.5	1	0	0	74.1
286	31.8	9.9	5.2	16.1	6.3	5.8	6.2	0.8	1.4	7.8	7.3	0.5	0.9	0	0	77.7
285	34.1	10.4	4.9	15.1	6.1	6.5	5.2	0.8	1.3	7.2	6.9	0.5	0.9	0	0	81.4
284	34	10.6	5.3	16	5.4	6.2	6.2	0.8	1.3	6.9	5.9	0.5	0.8	0	0	79
283	33.3	10	5.3	17	5	6.8	5.7	0.8	1.4	7	6.2	0.6	0.9	0	0	79.2
282	34.9	10.5	4.9	15.9	5.5	6.6	5.5	0.9	1.4	7	5.5	0.5	0.9	0	0	82.2
281	34.5	12.2	6.1	12.8	5.2	5.2	5.6	0.7	1.3	7.3	7	0.7	1.4	0	0	85.4
280	31.9	12.2	4.9	15.1	5.6	6.4	6.9	0.7	1.6	7.4	7.1	0	0	0	0	75.2
279	31.9	10.3	5.2	14.8	6.3	7	6.8	0.7	1.7	7.7	7.6	0	0	0	0	77.3
278	34	10.2	4.2	16.2	5.3	5.5	6.5	0.8	1.5	7.4	6.9	0.6	1	0	0	85.3
277	36.5	9.9	4.5	15.1	6.3	5.5	6.2	0.7	1.3	6.8	6.1	0.4	0.7	0	0	87.5
276	35.7	10.1	4.5	15.8	6	6.2	6.1	0.8	1.3	6.6	5.6	0.4	0.8	0	0	85.6
275	36.8	9.5	4.6	16.5	5.3	6.3	4.6	0.7	1.3	6.9	6.1	0.5	0.9	0	0	87.8
274	34.6	11.3	4.7	15.4	5.1	5.7	5.5	0.8	1.4	7.3	6.5	0.5	1	0	0	81.2
273	35.8	10.4	4.2	15.4	6.1	6.7	5.1	0.7	1.4	6.8	6	0.5	0.9	0	0	87
272	35	10.3	4.5	15.9	6.2	6	6.2	0.7	1.4	6.8	5.9	0.5	0.7	0	0	84.7
271	32.6	9.2	4.4	14.7	6.4	6.1	7.2	0.8	1.7	7.7	7.6	0.6	1.1	0	0	84.4
270	32.4	9.6	3.9	17.7	6.8	5.8	5.6	0.8	1.5	8	6.5	0.6	0.9	0	0	86
269	31.4	10.2	4.2	15.3	6.1	5.6	7.8	0.7	1.9	7.8	7.1	0.6	1.1	0	0	81.6
268	32.6	10.6	4.3	15	7	6.1	7.3	0.7	1.7	7.3	6.3	0.5	0.7	0	0	82.2
266	30.5	10.7	4.3	14.3	7	7.3	7.2	0.8	1.9	7.5	6.9	0.7	1	0	0	79
265	31.2	10.4	4.2	14.7	7.4	6.3	7.3	0.8	1.8	7.9	6.5	0.6	1	0	0	80.9
264	31.6	9.4	4.1	14.6	7.2	6.8	7.8	0.7	1.9	7.1	6.9	0.6	1	0.1	0.3	84.2
263	31	10.1	4.2	14.8	7.9	6.1	8.1	0.8	1.9	7.5	6.4	0.5	0.8	0	0	81.4
261	25.4	10.9	3.9	16.8	8.1	7.8	7.5	0.8	2.4	8.8	7.5	0	0	0	0	72.4
260	24.5	10.6	4.3	17.2	8.1	7.4	8.3	0.8	2.1	8.8	6.6	0.5	0.8	0	0	69.4
259	25.6	10.7	4.2	17.3	6.5	7.3	8.1	0.9	2	8.7	7.2	0.6	0.9	0	0	71.9
258	27.9	11	4.5	15.2	7.3	6.7	8.6	0.7	2.1	7.5	7	0.5	0.8	0	0	73.3
256	26.2	10.3	3.7	16.7	7.4	5.8	8.6	0.8	2	9	7.6	0.9	1	0	0	76.5
254	25.4	11.3	4.3	16.5	8.2	6.4	7.7	0.8	2.1	9.2	8.1	0	0	0	0	69.5
252	26.1	10.6	3.9	17	7	6.2	9.7	0.9	2.5	8.7	7.6	0	0	0	0	74.3
250	23.2	10.2	4.1	19.4	6.8	6.8	9.1	0.8	2.4	8.9	6.8	0.5	0.9	0	0	68.9
246	23.5	12.5	5.3	17.5	7.7	8.5	7	1.1	2.2	8.9	5.9	0	0	0	0	58
245	24.4	10.9	4.1	19.4	6.2	9.9	6.8	1.3	2.3	8.9	5.8	0	0	0	0	69.5
240	34.5	8.2	3.8	20.4	7.2	5.4	4	0.8	0.9	8.9	4.7	0.5	0.6	0	0	92.1
235	26.1	9.8	3.5	23.2	7.3	8.1	5.2	1.1	1.4	9.3	4.9	0	0	0	0	78.5
232	27.4	10.8	3.7	19.3	7.3	9.4	5.1	1	1.7	9.1	5.2	0	0	0	0	77.6
225	25.7	10.3	3.5	21	7.9	8.5	5.5	1.1	1.5	9.7	5.3	0	0	0	0	76.8
219	27.2	10.5	4	21.3	6.9	6.6	5.4	1	1.7	10.2	5.3	0	0	0	0	76.2
216	20	9.9	2.8	23.6	9.2	8.9	4.2	1.5	0.7	11.9	5.6	0.7	0.8	0.2	0.2	70.9
211	26.9	10.3	4.6	20.4	6.3	7	6.5	1	1.7	9.3	5.9	0	0	0	0	72.2
205	28.1	10.4	3.8	22.1	7	7	5.3	1.1	1.4	8.7	5.2	0	0	0	0	79
200	28.8	9.8	3.6	22	6.7	7.2	4.6	1	1.2	9.2	5.8	0	0	0	0	82.2
197	29.8	10.6	4.2	20.9	6.8	5.5	5.7	0.9	1.2	9.1	5.5	0	0	0	0	78.8
195	30.7	11.3	4.5	15.9	7.8	5.4	5.9	0.8	1.4	9.3	7.1	0	0	0	0	77.4
194	28.7	12	4.7	17.9	7.5	5.5	6.2	0.7	1.8	8.9	6.1	0	0	0	0	72
192	30.8	11.2	4.2	19.6	7.8	5.3	5.3	0.8	1.4	8.2	5.2	0	0	0	0	79
190	34.7	8.4	3.2	20.4	7.7	5	4.4	0.8	1	8.7	5.7	0	0	0	0	95.2
186	36.5	8.2	3.6	20.2	6.6	4.7	4.3	0.8	1	7.7	5.3	0.5	0.7	0	0	95.7
185	37.1	8.4	3.6	18.9	8.2	4.4	5	0.7	1	7.2	4.5	0.4	0.6	0	0	95.3
184	35	7.7	3.1	21.9	7	4.5	3.8	0.8	0.7	8.7	5.3	0.5	0.7	0.1	0	97.9
183	34	7.7	3	21.4	8.8	4.7	4.3	0.8	0.8	8.2	5	0.4	0.6	0.1	0.1	97.2
182	35.6	7.8	3.2	21.3	8	4.8	4.6	0.8	1	7.3	4.2	0.4	0.6	0.1	0.2	97.4
181	42.6	6.1	2.4	24.1	6.1	3.8	2.1	1.1	0.4	7.8	3.5	0	0	0	0	100
178	38.4	7	2.9	24.7	7.3	4.1	2.4	1	0.4	7.7	4	0	0	0	0	100
176	28.4	10.9	3.4	25.7	6.5	6.6	2.6	1.3	0.4	9.4	4.1	0.3	0.3	0	0	80.3
172	33.4	8.1	2.3	23.6	7.8	4.7	2.9	0.9	0.4	10.1	5.8	0	0	0	0	99.9
170	35.3	7.7	2.4	24.7	6.9	4.7	2.9	0.9	0.4	9.7	4.5	0	0	0	0	100
167	35.6	7.4	2.2	25.6	6.6	4.4	2.5	0.9	0.3	9	4.6	0.5	0.5	0	0	100
166	30.4	7.7	2.5	24.7	8.2	5.3	3.2	1	0.4	10.7	6	0	0	0	0	96.1
164	33.5	7.8	2.6	25.8	6.8	4.7	2.5	0.9	0.5	9.4	5.4	0	0	0	0	98.7
163	34.2	8.4	2.3	21.9	7.5	5	2.9	1.2	0	11.3	5.3	0	0	0	0	99.9
162	34.2	7.4	1.8	22.9	7.8	4.5	3.5	0.8	0.3	9.1	6.2	0.5	0.8	0.1	0	100
